complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label,x,y,DBSCAN_Cluster,KMeans_Cluster,Risk Score,Risk Level,Root Cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.67,6,2,0,0.2390009075012779,0.7527417882998685,0,4,55,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,3,2,0,-1.7836398170721757,2.381926407704887,3,1,55,High,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.53,5,3,1,-1.357461773663346,2.7296125988696343,3,1,51,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,3,2,1,-1.1929884771589887,1.3139764086581622,3,1,62,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.57,7,4,1,0.2390009075012779,0.7527417882998685,0,4,62,High,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.78,1,3,1,0.2390009075012779,0.7527417882998685,0,4,56,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.48,5,2,0,-0.3911203663377927,-0.935641499841797,0,0,44,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,9,3,1,-1.7836398170721757,2.381926407704887,3,1,70,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.58,4,4,1,0.3937367188796189,-0.6687577691426547,0,0,57,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,21,4,1,-1.7836398170721757,2.381926407704887,3,1,99,Critical,Payment gateway or bank processing delay
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.73,14,3,1,-1.711371593081928,-3.4244080913301573,2,2,79,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.39,7,1,0,-0.3911203663377927,-0.935641499841797,0,0,38,Medium,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.54,8,1,0,-1.357461773663346,2.7296125988696343,3,1,48,Medium,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.46,4,3,1,-0.3911203663377927,-0.935641499841797,0,0,46,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.93,17,4,1,-1.7836398170721757,2.381926407704887,3,1,100,Critical,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.67,15,4,1,-1.5922467547828327,-2.1694281828813136,2,2,83,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.92,11,3,1,-1.711371593081928,-3.4244080913301573,2,2,83,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,19,2,1,-1.711371593081928,-3.4244080913301573,2,2,92,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.76,11,1,1,-1.5922467547828327,-2.1694281828813136,2,2,65,High,Isolated complaint - no systemic cause
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.55,9,2,0,3.966911999619658,-0.268436093168843,1,3,55,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,9,2,0,-1.1929884771589887,1.3139764086581622,3,1,64,High,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.68,7,2,0,-1.357461773663346,2.7296125988696343,3,1,58,High,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.55,10,1,0,-0.3911203663377927,-0.935641499841797,0,0,52,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.75,10,4,1,-1.711371593081928,-3.4244080913301573,2,2,77,Critical,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.49,9,3,1,0.3937367188796189,-0.6687577691426547,0,0,57,High,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.63,9,3,1,-1.357461773663346,2.7296125988696343,3,1,64,High,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.88,20,3,1,-1.5922467547828327,-2.1694281828813136,2,2,99,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,17,1,1,-1.711371593081928,-3.4244080913301573,2,2,83,Critical,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.37,9,1,0,-0.3911203663377927,-0.935641499841797,0,0,41,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.8,12,3,1,-1.711371593081928,-3.4244080913301573,2,2,79,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.84,4,4,1,-1.5922467547828327,-2.1694281828813136,2,2,70,High,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.57,2,3,1,-1.357461773663346,2.7296125988696343,3,1,47,Medium,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.51,4,3,1,3.966911999619658,-0.268436093168843,1,3,48,Medium,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.97,6,3,1,-1.7836398170721757,2.381926407704887,3,1,75,Critical,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.33,6,4,1,-0.3911203663377927,-0.935641499841797,0,0,48,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.9,19,4,1,-1.711371593081928,-3.4244080913301573,2,2,103,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.48,4,4,1,-0.3911203663377927,-0.935641499841797,0,0,52,High,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.57,4,1,0,3.966911999619658,-0.268436093168843,1,3,41,Medium,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.56,8,2,0,-0.3911203663377927,-0.935641499841797,0,0,54,High,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,18,2,1,-1.7836398170721757,2.381926407704887,3,1,87,Critical,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.65,2,1,0,-1.357461773663346,2.7296125988696343,3,1,41,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.52,2,4,1,0.2390009075012779,0.7527417882998685,0,4,50,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.53,3,1,0,0.3937367188796189,-0.6687577691426547,0,0,37,Medium,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.62,10,2,0,-1.5922467003701688,-2.1694284101938868,2,2,61,High,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.64,24,2,0,-1.5922467547828327,-2.1694281828813136,2,2,90,Critical,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.45,3,1,0,0.3937367188796189,-0.6687577691426547,0,0,33,Medium,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.45,2,4,1,-1.357461773663346,2.7296125988696343,3,1,46,Medium,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.51,1,3,1,3.966911999619658,-0.268436093168843,1,3,42,Medium,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.87,8,4,1,3.429179190843084,0.2884144875879759,1,3,79,Critical,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.62,10,2,0,3.429179190843084,0.2884144875879759,1,3,61,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.89,24,1,1,-1.7836398170721757,2.381926407704887,3,1,97,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.76,1,4,1,3.429179190843084,0.2884144875879759,1,3,60,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,1,3,1,-1.1929884771589887,1.3139764086581622,3,1,63,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.7,5,1,0,0.2390009075012779,0.7527417882998685,0,4,50,High,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.87,15,4,1,-1.5922467547828327,-2.1694281828813136,2,2,93,Critical,Courier partner failure suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,21,1,0,-1.7836398170721757,2.381926407704887,3,1,83,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.61,9,2,0,0.3937367188796189,-0.6687577691426547,0,0,58,High,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.87,7,3,1,-1.5922467547828327,-2.1694281828813136,2,2,72,High,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.45,7,2,0,0.2390009075012779,0.7527417882998685,0,4,46,Medium,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.68,8,2,0,3.429179190843084,0.2884144875879759,1,3,60,High,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.7,7,4,1,0.3937367188796189,-0.6687577691426547,0,0,69,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.41,1,4,1,-0.3911203663377927,-0.935641499841797,0,0,42,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.58,5,2,0,0.2390009075012779,0.7527417882998685,0,4,49,Medium,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,8,4,1,-1.7836398170721757,2.381926407704887,3,1,81,Critical,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.84,5,4,1,3.4291791620191963,0.2884144815009377,1,3,72,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.51,8,3,1,-0.3911203663377927,-0.935641499841797,0,0,56,High,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.9,6,4,1,3.966911999619658,-0.268436093168843,1,3,77,Critical,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.72,9,3,1,3.966911999619658,-0.268436093168843,1,3,69,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.69,4,4,1,-1.5922467547828327,-2.1694281828813136,2,2,62,High,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.83,5,1,0,3.429179190843084,0.2884144875879759,1,3,56,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.7,20,3,1,-1.5922467547828327,-2.1694281828813136,2,2,90,Critical,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.35,3,4,1,-1.357461773663346,2.7296125988696343,3,1,43,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.65,22,1,0,-1.711371593081928,-3.4244080913301573,2,2,81,Critical,Isolated complaint - no systemic cause
"return request ignored completely, no one responding",return_not_picked,english,0.61,5,4,1,-1.5922467547828327,-2.1694281828813136,2,2,60,High,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,9,1,1,-1.711371593081928,-3.4244080913301573,2,2,62,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.76,7,4,1,3.429179190843084,0.2884144875879759,1,3,72,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.86,1,1,1,-1.711371593081928,-3.4244080913301573,2,2,50,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.43,3,3,1,0.2390009075012779,0.7527417882998685,0,4,42,Medium,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.66,19,3,1,-1.5922467003701688,-2.1694284101938868,2,2,86,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.75,7,1,1,3.966911999619658,-0.268436093168843,1,3,56,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.31,10,2,0,-1.357461773663346,2.7296125988696343,3,1,45,Medium,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.55,7,3,1,-0.3911203663377927,-0.935641499841797,0,0,56,High,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,3,4,1,-1.7836398170721757,2.381926407704887,3,1,64,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.48,9,2,0,0.3937367188796189,-0.6687577691426547,0,0,52,High,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.71,24,4,1,-1.5922467547828327,-2.1694281828813136,2,2,103,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.82,7,1,1,3.966911999619658,-0.268436093168843,1,3,60,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.84,2,1,0,3.966911999619658,-0.268436093168843,1,3,51,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.93,8,1,1,-1.5922467547828327,-2.1694281828813136,2,2,67,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.67,2,2,0,0.2390009075012779,0.7527417882998685,0,4,47,Medium,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.32,6,4,1,-1.357461773663346,2.7296125988696343,3,1,48,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,2,3,1,-1.711371593081928,-3.4244080913301573,2,2,63,High,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.78,7,2,1,3.966911999619658,-0.268436093168843,1,3,63,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.64,1,1,0,-0.3911203663377927,-0.935641499841797,0,0,39,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,17,3,1,-1.711371593081928,-3.4244080913301573,2,2,88,Critical,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.35,5,4,1,-1.357461773663346,2.7296125988696343,3,1,47,Medium,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.69,8,2,0,3.966911999619658,-0.268436093168843,1,3,60,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.86,6,4,1,-1.711371593081928,-3.4244080913301573,2,2,75,Critical,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.74,9,4,1,0.3937367188796189,-0.6687577691426547,0,0,75,Critical,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.68,2,3,1,-1.357461773663346,2.7296125988696343,3,1,53,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.74,22,4,1,-1.711371593081928,-3.4244080913301573,2,2,101,Critical,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.51,6,1,0,-1.357461773663346,2.7296125988696343,3,1,42,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.64,13,1,0,-1.711371593081928,-3.4244080913301573,2,2,63,High,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.84,15,4,1,-1.711371593081928,-3.4244080913301573,2,2,92,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.93,14,4,1,-1.711371593081928,-3.4244080913301573,2,2,94,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.87,12,4,1,-1.5922467547828327,-2.1694281828813136,2,2,87,Critical,Courier partner failure suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.84,1,1,0,-1.7836398170721757,2.381926407704887,3,1,49,Medium,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.37,10,4,1,-1.357461773663346,2.7296125988696343,3,1,58,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.93,8,3,1,-1.1929884771589887,1.3139764086581622,3,1,77,Critical,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.57,10,1,0,-1.357461773663346,2.7296125988696343,3,1,53,High,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,9,2,0,3.966911999619658,-0.268436093168843,1,3,60,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.71,17,1,0,-1.7836398170721757,2.381926407704887,3,1,74,High,Payment gateway or bank processing delay
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,18,2,1,-1.711371593081928,-3.4244080913301573,2,2,90,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.66,19,3,1,-1.5922467547828327,-2.1694281828813136,2,2,86,Critical,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.59,3,4,1,0.2390009075012779,0.7527417882998685,0,4,55,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.59,10,3,1,-0.3911203663377927,-0.935641499841797,0,0,64,High,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.78,19,2,1,-1.7836398170721757,2.381926407704887,3,1,87,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,1,3,1,-1.7836398170721757,2.381926407704887,3,1,58,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.74,10,3,1,3.429179190843084,0.2884144875879759,1,3,72,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.3,5,2,0,-1.357461773663346,2.7296125988696343,3,1,35,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.8,10,1,1,3.429179190843084,0.2884144875879759,1,3,65,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,13,3,1,-1.1929884771589887,1.3139764086581622,3,1,85,Critical,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.6,6,2,0,3.966911999619658,-0.268436093168843,1,3,52,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.67,4,2,0,-0.3911203663377927,-0.935641499841797,0,0,51,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,1,1,1,-1.1929884771589887,1.3139764086581622,3,1,50,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.51,9,1,0,0.3937367188796189,-0.6687577691426547,0,0,48,Medium,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.78,20,4,1,-1.5922467547828327,-2.1694281828813136,2,2,99,Critical,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.75,1,2,0,0.2390009075012779,0.7527417882998685,0,4,49,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.87,21,4,1,-1.711371593081928,-3.4244080913301573,2,2,105,Critical,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.56,4,4,1,-1.357461773663346,2.7296125988696343,3,1,56,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.93,16,3,1,-1.711371593081928,-3.4244080913301573,2,2,93,Critical,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.79,2,3,1,0.2390009075012779,0.7527417882998685,0,4,58,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,24,1,1,-1.7836398170721757,2.381926407704887,3,1,92,Critical,Payment gateway or bank processing delay
"saree color was red online but received pink, cheating",color_mismatch,english,0.54,5,3,1,0.2390009075012779,0.7527417882998685,0,4,52,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.51,10,3,1,0.3937367188796189,-0.6687577691426547,0,0,60,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.87,23,3,1,-1.711371593081928,-3.4244080913301573,2,2,104,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,3,3,1,-1.711371593081928,-3.4244080913301573,2,2,60,High,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.5,4,2,0,3.966911999619658,-0.268436093168843,1,3,43,Medium,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,11,3,1,-1.1929884771589887,1.3139764086581622,3,1,73,High,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.81,8,4,1,3.429179190843084,0.2884144875879759,1,3,76,Critical,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.71,4,4,1,3.429179190843084,0.2884144875879759,1,3,63,High,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.71,8,4,1,0.3937367188796189,-0.6687577691426547,0,0,71,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.7,2,2,0,3.429179190843084,0.2884144875879759,1,3,49,Medium,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.74,2,4,1,0.3937367188796189,-0.6687577691426547,0,0,61,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.54,10,1,0,-0.3911203663377927,-0.935641499841797,0,0,52,High,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.75,2,2,0,0.3937367188796189,-0.6687577691426547,0,0,51,High,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.86,13,2,1,-1.5922467547828327,-2.1694281828813136,2,2,79,Critical,Courier partner failure suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,13,3,1,-1.7836398170721757,2.381926407704887,3,1,86,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.72,8,1,0,0.3937367188796189,-0.6687577691426547,0,0,57,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.48,6,4,1,-0.3911203663377927,-0.935641499841797,0,0,56,High,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.71,8,2,0,3.966911999619658,-0.268436093168843,1,3,61,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.67,2,4,1,-0.3911203663377927,-0.935641499841797,0,0,57,High,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.69,5,3,1,3.429179190843084,0.2884144875879759,1,3,59,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.54,1,2,0,-1.357461773663346,2.7296125988696343,3,1,39,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.72,3,3,1,0.2390009075012779,0.7527417882998685,0,4,57,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.61,22,4,1,-1.711371593081928,-3.4244080913301573,2,2,94,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.63,6,2,0,-0.3911203663377927,-0.935641499841797,0,0,53,High,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,0,3,1,-1.7836398170721757,2.381926407704887,3,1,62,High,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.83,0,2,0,-1.711371593081928,-3.4244080913301573,2,2,51,High,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.66,1,1,0,0.3937367188796189,-0.6687577691426547,0,0,40,Medium,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.42,5,4,1,0.2390009075012779,0.7527417882998685,0,4,51,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.78,7,1,1,3.429179190843084,0.2884144875879759,1,3,58,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.61,6,1,0,-1.5922467547828327,-2.1694281828813136,2,2,47,Medium,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.31,10,4,1,-1.357461773663346,2.7296125988696343,3,1,55,High,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.53,1,1,0,-1.357461773663346,2.7296125988696343,3,1,33,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,7,4,1,-1.7836398170721757,2.381926407704887,3,1,77,Critical,Isolated complaint - no systemic cause
"return request ignored completely, no one responding",return_not_picked,english,0.94,17,2,1,-1.5922467547828327,-2.1694281828813136,2,2,91,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.76,7,4,1,3.966911999619658,-0.268436093168843,1,3,72,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,8,4,1,-1.1929884771589887,1.3139764086581622,3,1,78,Critical,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.9,18,4,1,-1.711371593081928,-3.4244080913301573,2,2,101,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.57,6,3,1,3.966911999619658,-0.268436093168843,1,3,55,High,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.63,10,3,1,0.3937367188796189,-0.6687577691426547,0,0,66,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.42,1,3,1,0.3937367188796189,-0.6687577691426547,0,0,38,Medium,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.8,7,4,1,0.2390009075012779,0.7527417882998685,0,4,74,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.57,10,2,0,-0.3911203663377927,-0.935641499841797,0,0,58,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.54,1,3,1,0.2390009075012779,0.7527417882998685,0,4,44,Medium,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.62,5,1,0,0.2390009075012779,0.7527417882998685,0,4,46,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.9,0,3,1,-1.711371593081928,-3.4244080913301573,2,2,60,High,Courier partner failure suspected
