complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,4,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.78,11,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.58,4,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.78,22,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.33,9,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.56,9,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.93,10,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.61,6,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.56,0,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.59,6,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.68,2,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.77,2,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.78,9,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.69,15,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.75,9,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.67,2,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.5,5,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,22,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.81,17,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.66,13,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.84,17,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.81,16,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.74,1,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.83,10,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.94,0,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.73,19,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.64,10,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.82,3,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.92,18,1,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.54,4,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.86,5,2,1
"Color mismatch in my order, very upset",color_mismatch,english,0.43,3,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.35,4,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.56,5,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.68,0,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.59,3,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.59,8,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.68,6,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.8,16,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.63,9,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,7,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.85,2,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.51,5,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.51,3,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,14,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,16,2,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.73,5,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.41,8,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.81,5,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.49,9,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.78,1,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.78,0,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,23,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.43,1,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.51,2,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,6,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.93,11,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.51,3,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.88,25,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.43,0,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.64,7,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.88,2,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.69,4,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,7,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.76,23,2,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.62,1,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.5,10,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.62,8,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.61,0,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.74,3,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.85,24,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.61,6,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.56,7,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.89,10,1,1
"Return request ignored completely, no one responding",return_not_picked,english,0.61,22,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.65,6,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.84,10,1,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.91,21,1,1
"Return request ignored completely, no one responding",return_not_picked,english,0.61,17,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.84,8,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,9,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.66,9,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.65,5,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.8,3,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.42,5,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.7,25,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.76,22,2,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.73,20,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.81,23,2,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.82,5,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.71,4,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.58,8,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.87,16,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.59,0,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.8,16,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.55,5,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,9,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.68,7,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.85,2,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.59,9,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.53,10,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.51,0,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.59,1,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.86,2,2,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.67,8,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.32,8,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.88,7,1,1
"Return request ignored completely, no one responding",return_not_picked,english,0.86,10,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,7,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,9,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.36,2,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.67,8,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.41,5,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.98,15,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.53,8,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.83,6,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.62,9,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,18,2,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.86,9,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.3,9,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.81,21,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.49,7,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.68,8,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,22,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,2,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.57,9,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.71,19,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.6,6,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.41,6,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.9,6,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.93,5,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.65,9,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.77,1,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.77,5,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.82,5,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,7,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.74,7,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,6,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.74,24,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.71,1,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.88,13,1,1
"Color mismatch in my order, very upset",color_mismatch,english,0.76,7,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.41,2,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.67,23,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.91,11,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,20,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.65,6,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.64,2,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.43,1,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.83,9,2,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.54,5,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.8,6,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,20,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,8,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.46,3,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,10,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.87,9,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.31,5,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.59,5,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,4,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.69,7,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.62,24,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.95,3,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.61,8,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,24,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.58,0,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.56,3,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.92,6,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.78,25,2,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,3,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.78,7,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.56,10,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.71,2,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.48,9,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.42,0,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.69,4,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.54,1,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,15,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.62,9,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.85,20,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.69,6,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.61,5,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.74,2,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,7,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.68,5,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.91,6,2,1
"Color mismatch in my order, very upset",color_mismatch,english,0.47,3,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.61,6,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.61,9,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.85,14,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.86,7,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.74,8,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,21,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.98,15,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.44,8,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.42,1,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.64,1,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.71,10,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.75,10,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.39,2,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.45,9,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.62,1,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.71,6,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,24,2,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.64,10,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.42,3,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.48,5,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,21,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.57,3,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.62,6,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.55,4,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.57,10,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.5,8,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.59,3,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.61,9,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.83,7,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.5,2,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.71,4,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.87,2,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.71,5,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.41,8,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.33,10,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,1,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.6,0,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.89,2,2,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.8,0,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,20,2,1
"Color mismatch in my order, very upset",color_mismatch,english,0.63,2,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.77,3,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.76,6,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.83,4,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.97,11,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.6,2,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.62,9,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.47,0,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.94,12,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.39,10,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.63,0,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.71,1,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.76,13,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.5,3,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.42,1,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.7,3,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.47,10,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.94,10,1,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,12,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.5,9,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,17,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.44,1,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,12,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.61,6,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.44,5,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.65,9,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.51,10,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.93,15,1,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.56,8,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,18,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.51,9,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.75,2,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.47,6,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.81,0,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,14,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.31,1,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.58,4,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.59,2,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.75,4,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.64,2,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.93,20,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.83,18,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.62,8,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.67,6,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.59,3,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.49,1,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.54,0,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.53,1,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.65,15,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.66,9,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.8,23,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,12,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.78,14,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.68,7,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.57,8,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.7,18,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.71,9,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.74,17,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.72,10,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.77,3,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.66,24,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,6,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.91,18,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.42,4,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.41,5,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.83,4,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.57,10,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.4,5,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.46,2,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.6,4,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.49,10,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.62,1,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.3,4,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.87,1,2,1
